learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
linear_Macro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,other,1,0.824091335137685,0.0513415978434833,0.970614691575368,0.00453001679683509
linear_Macro_AUM,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.703667879104614,0.0461272773033635,0.945959846178691,0.00173802436369998
linear_Macro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,same,1,0.864331980546316,0.0538570455339986,0.951453268527985,0.0095745725786542
linear_Micro_AUM,FashionMNIST_seed4_prop0.01,balanced,other,0.1,0.907551030317942,0.00726995897746242,0.927430907885234,0.0063781681182944
linear_Micro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,other,0.3,0.955699225266775,0.0175482665480203,0.967476109663645,0.00437128651148826
linear_Micro_AUM,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.95554131269455,0.00384538539441973,0.947532574335734,0.00345253709798702
linear_Micro_AUM,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.982125381628672,0.00988451779372794,0.955200970172882,0.0119726374560464
linear_CE_weighted,FashionMNIST_seed4_prop0.01,balanced,other,0.1,0.971627612908681,0.00598308923810161,0.970402936140696,0.00115843014463036
linear_CE_weighted,FashionMNIST_seed4_prop0.01,unbalanced,other,0.3,0.996363619963328,9.72874953434607e-05,0.993303179740906,0.00108333364132509
linear_CE_weighted,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.989049355189005,0.000241975377834213,0.984691818555196,0.000404285160875787
linear_CE_weighted,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.994093656539917,0.00285421835631706,0.985402683417002,0.00388943626096308
