learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.588690598805746,0.0297124487913745,0.906407395998637,0.0240747340704302
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.550040145715078,0.00473900263544457,0.890306611855825,0.0296900538450603
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.568742911020915,0.0638370458226528,0.925164779027303,0.0210686854950664
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,1,0.930120686690013,0.0112277266693319,0.947213967641195,0.00497966795285137
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.5,0.936577339967092,0.0318990555603352,0.967918932437897,0.00924425585593248
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,1,0.924671828746796,0.0152607539408254,0.963021437327067,0.00409725539242902
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,1,0.965402781963348,0.00318615466211989,0.959194839000702,0.00797508883791545
conv_CE_weighted,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.988973995049795,0.000430429094749239,0.984838962554932,0.000372191147162874
conv_CE_weighted,FashionMNIST_seed1_prop0.1,unbalanced,other,0.5,0.995606025060018,0.000921645876777769,0.992499689261119,0.00109896925031121
conv_CE_weighted,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.990268886089325,0.000741941428000696,0.986202239990234,0.000782868182327139
conv_CE_weighted,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.994698266188304,0.000750311385031173,0.99084343512853,0.000401400630153722
